FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
1,HR2024AC01,Husband,Venod Sharma,"Former Member of Parliament (Lok Sabha), Former Haryana Cabinet Minister",1998-2014 (various roles),"Ambala (Lok Sabha), Ambala City (Assembly)",Ambala,Haryana
2,HR2024AC01,Son,Kartikeya Sharma,Member of Parliament (Rajya Sabha),2022-Present,Haryana (elected by MLAs),N/A,Haryana
3,HR2024AC02,Father,Bhajan Lal,"Chief Minister of Haryana (three terms), Union Minister of Agriculture and Environment","1979–1986, 1991–1996, 2005 (CM); Various central roles",Adampur and other seats,Hisar,Haryana
4,HR2024AC02,Brother,Kuldeep Bishnoi,"Member of Parliament (Lok Sabha), Member of Haryana Legislative Assembly, Former State Minister","MP: 2004–2009, 2011–2014; MLA: Various terms","Adampur (MLA), Hisar (MP)",Hisar,Haryana
5,HR2024AC02,Nephew,Bhavya Bishnoi,Member of Haryana Legislative Assembly (MLA),2022–2024,Adampur,Hisar,Haryana
6,HR2024AC03,Spouse,Ram Kishan,"MLA, Naraingarh (twice)",Unknown (prior to 2019),Naraingarh,Ambala,Haryana
7,HR2024AC04,,,,,,,
8,HR2024AC05,Daughter,Chitra Sarwara,"Contested Haryana Assembly Election from Ambala Cantt (2019, denied Congress ticket but contested)",2019,Ambala Cantt,Ambala,Haryana
9,HR2024AC06,Spouse,Varun Chaudhary,"Member of Parliament (Lok Sabha), Former MLA (Mulana)","MP: 2024–present, MLA: 2019–2024","Ambala (MP), Mulana (MLA)",Ambala,Haryana
10,HR2024AC06,Father-in-law,Phool Chand Mullana,"Former MLA (Mulana), Former Haryana Congress President","MLA: 1972, 1982, 1991, 2005; Congress President: Multiple Terms (dates vary)",Mulana,Ambala,Haryana
11,HR2024AC07,,,,,,,
12,HR2024AC08,Father,Mohd Aslam Khan,Member of the Haryana Legislative Assembly,Prior to 1996,Chhachhrauli,Yamunanagar,Haryana
13,HR2024AC08,Grandfather,Chaudhri Abdul Rashid Khan,"Leader in Northern Haryana (not specified if elected, but noted as 'eminent leader')",Unknown,Unknown,Yamunanagar,Haryana
14,HR2024AC09,,,,,,,
15,HR2024AC10,Son,Nepal Rana,"Active in local political activities, potential future candidate; regularly accompanies Shyam Singh Rana on political engagements and leads outreach programs in Radaur","2024–present (as public political activity, not elected office)",Radaur,Yamunanagar,Haryana
16,HR2024AC11,Spouse,Suman Saini,"Contested Zila Parishad Election, Ambala (2022); President, Ambala District BJP Mahila Morcha",2022-contested; 2023-present (as Mahila Morcha president; latest known),District Zila Parishad Election (Ambala),Ambala,Haryana
17,HR2024AC12,,,,,,,
18,HR2024AC13,,,,,,,
19,HR2024AC14,,,,,,,
20,HR2024AC16,Father,Jai Parkash,"Member of Parliament (Hisar) and former Deputy Minister in Ministry of Petroleum and Chemicals (Chandra Shekhar ministry); Member of 9th, 11th, and 14th Lok Sabha","1989-1991 (MP, 9th Lok Sabha), 1996-1998 (MP, 11th Lok Sabha), 2004-2009 (MP, 14th Lok Sabha), 2019-2024 (MP, Hisar)",Hisar,Hisar,Haryana
21,HR2024AC17,Father,Randeep Singh Surjewala,"Member of Parliament (Rajya Sabha), Cabinet Minister (Haryana), MLA (Kaithal, Haryana)","1996–present (various roles: MLA, Cabinet Minister 2005–2014, Rajya Sabha MP 2020–present)","Kaithal (MLA), Narwana (MLA), Haryana (Rajya Sabha MP)","Kaithal, Jind",Haryana
22,HR2024AC17,Grandfather,Shamsher Singh Surjewala,"Minister (Haryana), MLA (Kaithal and Narwana, Haryana)","Multiple terms, including MLA for Narwana (1977, 1982, 1991, 1996) and Kaithal (2005)","Kaithal, Narwana","Kaithal, Jind",Haryana
23,HR2024AC18,,,,,,,
24,HR2024AC19,,,,,,,
25,HR2024AC20,,,,,,,
26,HR2024AC21,,,,,,,
27,HR2024AC22,Father,Devi Singh Kalyan,"Chairman, Haryana Agro Industries Corporation Ltd. (Contested MLA Nilokheri seat, Haryana, lost)","Unknown (Chairman tenure, Contested Nilokheri seat year: Unknown)",Nilokheri,Karnal,Haryana
28,HR2024AC22,Father-in-law,Manohar Naik,"Member of the Legislative Assembly, Maharashtra (Pusad)","1995-1999, 2004-2009, 2009-2014, 2014-2019",Pusad,Yavatmal,Maharashtra
29,HR2024AC22,Grandfather-in-law,Vasantrao Naik,Chief Minister of Maharashtra,1963-1975,Unknown,Unknown,Maharashtra
30,HR2024AC23,,,,,,,
31,HR2024AC24,,,,,,,
32,HR2024AC25,Father,Prithvi Raj Vij,Contested Haryana Assembly Elections; Former MLA,Mentioned as active in the 1970s-1980s (exact years not listed in major public results but repeatedly cited as a prominent political rival of Shah family in Panipat),Panipat City,Panipat,Haryana
33,HR2024AC26,,,,,,,
34,HR2024AC27,Father,Kartar Singh Bhadana,"Cabinet Minister (without being MLA), Haryana (Devi Lal Govt); Former Minister","Late 1980s (notably Devi Lal government), other periods unknown",Unknown,Unknown,Haryana
35,HR2024AC27,Cousin,Arjun Bhadana,"Contested Assembly Election (Congress), Badarpur",2025,Badarpur,New Delhi,Delhi
36,HR2024AC27,Extended family/Uncle,Avtar Singh Bhadana,"MP (Lok Sabha), MLA (Haryana, UP), Minister (State), various parties including Congress",1991–2019 (multiple terms/constituencies),"Faridabad (MP), Meerapur (MLA), Hasanpur (MLA)","Faridabad (Haryana), Muzaffarnagar (UP)","Haryana, Uttar Pradesh"
37,HR2024AC28,Father,Satbir Singh Kadyan,"Speaker of Haryana Vidhan Sabha, INLD leader, and Chairman of IFFCO","Speaker (2000-2005), IFFCO Chairman during INLD government",Unknown,Unknown,Haryana
38,HR2024AC29,Son-in-law,Balwan Singh Gahlawat,"Chairman, Haryana State Agricultural Marketing Board (HSAMB)",Unknown,Unknown,Unknown,Haryana
39,HR2024AC29,Son,Narendra Gahlot,"None noted, but married to a political family",N/A,N/A,N/A,N/A
40,HR2024AC29,Daughter-in-law,Jyoti Mirdha,"MP, Lok Sabha (Nagaur)",2009-2014,Nagaur,Nagaur,Rajasthan
41,HR2024AC29,Cousin-in-law,Deepender Singh Hooda,"MP, Lok Sabha (Rohtak), Rajya Sabha MP",Lok Sabha: 2005–2019; Rajya Sabha: 2020–present,"Rohtak (Lok Sabha), Haryana (Rajya Sabha)",Rohtak,Haryana
42,HR2024AC30,,,,,,,
43,HR2024AC31,,,,,,,
44,HR2024AC32,,,,,,,
45,HR2024AC33,,,,,,,
46,HR2024AC34,Cousin,Babita Phogat,"Contested Haryana Assembly Elections as BJP candidate, Member of various BJP campaign committees",2019-present (contested in 2019),Dadri,Charkhi Dadri,Haryana
47,HR2024AC35,Father,Chander Bhan,Sarpanch and Block Committee Head,Unknown,Narnaund (local governance),Hisar,Haryana
48,HR2024AC36,Father,Hari Chand Middha,Member of Haryana Legislative Assembly (MLA),2009-2018,Jind,Jind,Haryana
49,HR2024AC37,,,,,,,
50,HR2024AC38,,,,,,,
51,HR2024AC39,Father,Harpal Singh,"Member, Haryana Legislative Assembly (multiple terms); Contested and won Tohana Assembly seat several times since 1967; Held MLA seat under Indian National Congress and at times represented other parties","1967, 1972, 1982, 1985 (Bypoll), 1987, 1991",Tohana,Fatehabad,Haryana
52,HR2024AC40,,,,,,,
53,HR2024AC41,,,,,,,
54,HR2024AC42,,,,,,,
55,HR2024AC43,Grandfather,Devi Lal,"Deputy Prime Minister of India, Chief Minister of Haryana, Member of Lok Sabha/Rajya Sabha/Legislative Assembly","1977-1979, 1987-1989 (CM); 1989-1991 (Deputy PM); Multiple terms as MP/MLA",Various,Various,Haryana
56,HR2024AC43,Uncle,Om Prakash Chautala,"Chief Minister of Haryana, MLA, MP","1989, 1990-91, 1999-2005 (CM); Multiple terms MLA/MP",Various,Various,Haryana
